0.0001	0.043132217	0.0310164	0.07177782
0.0002	0.042851639	0.0307793	0.07155158
0.0003	0.042570675	0.0305417	0.071325027
0.0004	0.042289324	0.0303036	0.071098151
0.0005	0.042007585	0.0300651	0.070870963
0.0006	0.041725461	0.0298262	0.070643457
0.0007	0.041442946	0.0295868	0.070415629
0.0008	0.041160045	0.029347	0.070187514
0.0009	0.040876758	0.0291068	0.069959053
0.001	0.040593082	0.0288661	0.069730293
0.0011	0.04030902	0.0286249	0.0695012
0.0012	0.04002457	0.0283833	0.069271768
0.0013	0.039739733	0.0281413	0.069042054
0.0014	0.039454515	0.0278988	0.068812046
0.0015	0.0391689	0.0276558	0.068581625
0.0016	0.038882903	0.0274124	0.068350922
0.0017	0.03859652	0.0271685	0.068119911
0.0018	0.038309774	0.0269242	0.067888541
0.0019	0.03802262	0.0266794	0.067656859
0.002	0.037735079	0.0264341	0.06742486
0.0021	0.037447157	0.0261884	0.067192526
0.0022	0.037158824	0.0259422	0.066959866
0.0023	0.036870135	0.0256956	0.066726869
0.0024	0.036581063	0.0254485	0.066493535
0.0025	0.036291604	0.0252009	0.066259856
0.0026	0.036001759	0.0249529	0.06602587
0.0027	0.035711547	0.0247044	0.065791538
0.0028	0.035420941	0.0244554	0.065556865
0.0029	0.035129965	0.0242059	0.065321843
0.003	0.034838605	0.023956	0.065086485
0.0031	0.03454688	0.0237056	0.064850817
0.0032	0.034254773	0.0234547	0.064614791
0.0033	0.0339623	0.0232034	0.064378413
0.0034	0.033669419	0.0229516	0.064141672
0.0035	0.033376185	0.0226992	0.063904636
0.0036	0.033082582	0.0224465	0.06366724
0.0037	0.032788607	0.0221932	0.063429473
0.0038	0.032494254	0.0219395	0.063191381
0.0039	0.032199556	0.0216853	0.062952939
0.004	0.031904487	0.0214306	0.062714143
0.0041	0.031609043	0.0211754	0.06247496
0.0042	0.031313244	0.0209197	0.062235494
0.0043	0.031017085	0.0206636	0.061995647
0.0044	0.030720569	0.0204069	0.061755428
0.0045	0.030423694	0.0201498	0.061514863
0.0046	0.030126473	0.0198922	0.061273951
0.0047	0.029828894	0.0196342	0.061032696
0.0048	0.029530965	0.0193756	0.060791043
0.0049	0.029232703	0.0191166	0.060549043
0.005	0.028934078	0.018857	0.060306681
0.0051	0.028635127	0.018597	0.060063952
0.0052	0.028335834	0.0183366	0.059820885
0.0053	0.028036206	0.0180756	0.05957744
0.0054	0.027736236	0.0178141	0.059333614
0.0055	0.027435961	0.0175522	0.059089448
0.0056	0.027135349	0.0172898	0.058844899
0.0057	0.026834417	0.0170269	0.058599969
0.0058	0.026533178	0.0167635	0.05835469
0.0059	0.026231607	0.0164997	0.058109046
0.006	0.025929737	0.0162353	0.05786301
0.0061	0.025627562	0.0159705	0.057616609
0.0062	0.025325087	0.0157053	0.057369821
0.0063	0.025022317	0.0154395	0.057122668
0.0064	0.02471926	0.0151733	0.056875144
0.0065	0.024415915	0.0149066	0.056627216
0.0066	0.024112292	0.0146395	0.05637892
0.0067	0.023808396	0.0143719	0.056130232
0.0068	0.02350423	0.0141038	0.0558812
0.0069	0.023199804	0.0138353	0.055631758
