1	0.292498556	0.29935611	0.301236608	0.28925601	0.286510922	0.278655745
2	0.290238552	0.297844473	0.296500365	0.281929049	0.279507375	0.271696248
3	0.295303649	0.298772751	0.297279873	0.279869354	0.272424938	0.251734111
4	0.293056105	0.301296429	0.298825135	0.267712321	0.27187127	0.242984635
5	0.295369652	0.300784467	0.29956298	0.267531106	0.264559187	0.23595019
6	0.295124589	0.301676479	0.301040746	0.274665742	0.265874394	0.225950773
7	0.295153113	0.302730821	0.306125944	0.274214121	0.264025908	0.21983063
8	0.295541011	0.299316335	0.308243465	0.275066088	0.263978456	0.223917328
9	0.296784609	0.300326258	0.309470768	0.277661917	0.263629921	0.216372157
10	0.299561776	0.29336343	0.310661188	0.278675712	0.277851581	0.212475684
11	0.295461645	0.294309506	0.315895008	0.281313399	0.283143727	0.210033023
12	0.292682495	0.293823363	0.315942295	0.286211374	0.290254397	0.212792889
13	0.293182063	0.297462289	0.314562471	0.28191538	0.294573789	0.270864152
14	0.293694623	0.297640333	0.321063309	0.283032876	0.292382009	0.273603423
15	0.294504959	0.29851181	0.323900564	0.283722834	0.300770611	0.254825199
16	0.274851951	0.2994884	0.32412108	0.289547012	0.305194776	0.253473914
17	0.275435774	0.288076241	0.326484171	0.292838504	0.305698147	0.253447215
18	0.272581276	0.289252828	0.326776456	0.292107551	0.310530414	0.25264507
19	0.272905654	0.29003602	0.328959881	0.294353783	0.314313928	0.250345321
20	0.271638009	0.291818325	0.333630268	0.302345057	0.314926591	0.244284198
21	0.276486088	0.290520175	0.336240847	0.309073837	0.314904312	0.23634124
22	0.277194001	0.293004603	0.336709429	0.310416271	0.319108552	0.235847819
23	0.273453803	0.293752575	0.337470851	0.316112363	0.31957368	0.227611045
24	0.274105413	0.293643745	0.340405446	0.321722921	0.321016908	0.232552719
25	0.274299113	0.29442431	0.348193086	0.315781446	0.320779833	0.213644528
26	0.275556043	0.294623958	0.354574745	0.316445406	0.322559235	0.21154029
27	0.274421238	0.29346828	0.360301614	0.320019499	0.320912393	0.207710227
28	0.274576932	0.294881371	0.360663347	0.319946255	0.328683923	0.197184128
29	0.275133268	0.293301998	0.353328837	0.32391354	0.330481763	0.189734839
30	0.267940939	0.29062784	0.356043229	0.329266107	0.330584263	0.187974849
31	0.269757241	0.287083642	0.358837969	0.329824267	0.328974394	0.177875784
32	0.263103255	0.289486866	0.359866249	0.331675196	0.3323063	0.166606442
33	0.253494716	0.29022477	0.358943255	0.336597408	0.330233486	0.16132036
34	0.250912482	0.287818207	0.360280394	0.340610556	0.335277626	0.148804945
35	0.250929963	0.290883274	0.36151456	0.339521282	0.338103449	0.134889361
36	0.253659616	0.291397295	0.342382443	0.342116878	0.343884104	0.118372868
37	0.252419184	0.289026015	0.342855102	0.345526609	0.342334716	0.095203372
38	0.253560193	0.290333715	0.344247234	0.350581266	0.340824823	0.07604485
39	0.254118567	0.291206945	0.344055142	0.357386238	0.346719575	0.06995855
40	0.254260258	0.292283305	0.348360335	0.355267136	0.347373264	0.06995855
41	0.25492314	0.294714802	0.352496214	0.356393262	0.347164945	0.06995855
42	0.256630484	0.297082115	0.359427571	0.361123724	0.349156333	0.06995855
43	0.256950801	0.299066127	0.362904138	0.375601909	0.353129664	0.06995855
44	0.256973669	0.299397024	0.364227213	0.379805435	0.360865095	0.070225303
45	0.257534933	0.301286108	0.368314276	0.384040163	0.369609623	0.070225303
46	0.258088578	0.302306482	0.370125119	0.388305453	0.369521265	0.070225303
47	0.258246563	0.304085064	0.374597972	0.389295521	0.377589303	0.070225303
