0	0.298786552	0.046756838
50	0.29647745	0.046296884
100	0.294115684	0.044847655
150	0.298195725	0.047088284
200	0.303193618	0.047998948
250	0.303947434	0.047639526
300	0.312886099	0.049573398
350	0.307683151	0.046600664
400	0.305106534	0.049460773
450	0.307340747	0.047910013
500	0.307876438	0.049125901
550	0.306811863	0.049169012
600	0.304208649	0.046910158
650	0.298807759	0.045787312
700	0.307842162	0.046561165
750	0.30794448	0.047102915
800	0.312858728	0.047062332
850	0.314801759	0.045629479
900	0.309844169	0.045016311
950	0.3119713	0.044520098
1000	0.315342335	0.045178022
1050	0.314985747	0.044633746
1100	0.321935532	0.045836317
1150	0.319097061	0.044508655
1200	0.31252841	0.043630081
1250	0.304572164	0.041288198
1300	0.314648714	0.043628335
1350	0.310929512	0.042706133
1400	0.309522638	0.041902812
1450	0.314805199	0.041405894
1500	0.3261994	0.046388107
1550	0.324225001	0.043581742
1600	0.333745704	0.044558729
1650	0.3333019	0.045738747
1700	0.3396492	0.047093793
1750	0.33793366	0.04776384
1800	0.3350143	0.045990266
1850	0.340112043	0.047738298
1900	0.337576822	0.046728456
1950	0.340543506	0.048619362
2000	0.345689683	0.052324038
2050	0.338308558	0.049559282
2100	0.34153276	0.05085305
2150	0.341217047	0.049095017
2200	0.342757203	0.04923555
2250	0.340824246	0.049123125
2300	0.339635236	0.046342931
2350	0.34015267	0.046827482
2400	0.341373399	0.047734621
2450	0.336563934	0.045199926
2500	0.317406676	0.042578218
2550	0.338102118	0.046035549
2600	0.343203515	0.048235214
2650	0.346711082	0.048019986
2700	0.34654671	0.048346425
2750	0.350063996	0.044854399
2800	0.347415859	0.044647932
2850	0.341387223	0.043174385
2900	0.339027598	0.041208876
2950	0.347377541	0.043689883
3000	0.348050409	0.044247798
3050	0.342060081	0.042821918
3100	0.349192907	0.043482778
3150	0.347935576	0.043087144
3200	0.3469615	0.042201277
3250	0.3475236	0.043556733
3300	0.347356771	0.042478128
3350	0.351533644	0.040671966
3400	0.341878095	0.039499443
3450	0.341957598	0.039161976
3500	0.344720357	0.041158726
3550	0.346769424	0.042230232
3600	0.339765832	0.040094948
3650	0.335392157	0.041530111
3700	0.345066506	0.044251111
3750	0.354966066	0.046612852
3800	0.346946909	0.044639165
3850	0.349298883	0.045441474
3900	0.350751518	0.046847766
3950	0.3541914	0.046034898
4000	0.353654587	0.045563106
4050	0.349702209	0.045548432
4100	0.352829652	0.046299136
4150	0.349494536	0.046093298
4200	0.352736773	0.049451561
4250	0.350731277	0.047847778
4300	0.350767857	0.047508228
4350	0.348830353	0.048499468
4400	0.337909282	0.045030463
4450	0.342668253	0.045220083
4500	0.348571953	0.046216066
4550	0.345575558	0.045970397
4600	0.351457934	0.048351775
4650	0.366530425	0.052983026
4700	0.366733185	0.051777188
4750	0.365302331	0.050786527
4800	0.356596197	0.047147745
4850	0.345325726	0.04332812
4900	0.347178294	0.04250657
4950	0.344183009	0.042736945
5000	0.346598579	0.042590746
5050	0.340917723	0.041814197
5100	0.347618027	0.043680749
5150	0.345456895	0.04485006
5200	0.335392695	0.045698151
5250	0.340495381	0.04494751
5300	0.339481309	0.045433112
5350	0.329308254	0.045544429
5400	0.330897291	0.046134873
5450	0.34185219	0.049167575
5500	0.342672536	0.049948849
5550	0.340313994	0.049751183
5600	0.34024408	0.049934116
5650	0.346565229	0.05065697
5700	0.34302661	0.048979417
5750	0.345882356	0.047641391
5800	0.346922915	0.048472758
5850	0.344547293	0.045741437
5900	0.332655531	0.042502829
5950	0.340795725	0.046171215
6000	0.346177094	0.046744209
6050	0.345911707	0.046593142
6100	0.342843167	0.045049354
6150	0.341956372	0.043706586
6200	0.334951963	0.042009002
6250	0.335791449	0.044182884
6300	0.336476344	0.043048519
6350	0.347817458	0.044967823
6400	0.345168096	0.045719085
6450	0.334720369	0.051285926
6500	0.341146651	0.050414732
