0	0.266839366	0.018912387	0.113990185
50	0.259726503	0.030052595	0.178353734
100	0.287176098	0.03815889	0.245974918
150	0.304963153	0.043110834	0.31289478
200	0.311485913	0.045862816	0.347785574
250	0.325601521	0.04893148	0.384384423
300	0.325472138	0.048471794	0.386657975
350	0.322488678	0.047294376	0.390398638
400	0.33197481	0.048501112	0.412965844
450	0.337394054	0.049782546	0.422873554
500	0.335542646	0.045773593	0.365925099
550	0.341905186	0.047383174	0.396726861
600	0.348364208	0.047950268	0.412829712
650	0.351420169	0.048575859	0.435197219
700	0.353894817	0.049653404	0.429484395
750	0.35689596	0.051436709	0.454899069
800	0.353445177	0.047657653	0.392375355
850	0.351617145	0.045535425	0.369716785
900	0.342174707	0.044233394	0.360133169
950	0.344485453	0.045648382	0.376835565
1000	0.344440917	0.043965963	0.343837171
1050	0.340060335	0.045707495	0.381737304
1100	0.349690749	0.046948973	0.371462196
1150	0.349937759	0.046644871	0.370155372
1200	0.354375744	0.048525594	0.386846884
1250	0.346362422	0.045584584	0.362469043
1300	0.339292778	0.041997728	0.329002786
1350	0.347936127	0.045858265	0.372830354
1400	0.347694619	0.046303168	0.38022542
1450	0.345504638	0.047262758	0.41064296
1500	0.347475332	0.047240628	0.408447356
1550	0.35303803	0.048404364	0.406759424
1600	0.337263944	0.04651396	0.401657886
1650	0.341496326	0.047509574	0.404807188
1700	0.343076744	0.047225345	0.389743312
1750	0.338619117	0.045759136	0.382913713
1800	0.327470154	0.044735068	0.3747491
1850	0.327948829	0.046027402	0.376385738
1900	0.330065257	0.044600794	0.370147028
1950	0.335363373	0.046743358	0.387061041
2000	0.336500194	0.047521499	0.384659751
