0	0.043527896	0.043700029	0.043294156	0.043310101	0.041221052	0.042024958	0.04069147	0.040277537
50	0.037834624	0.041374259	0.042177035	0.045791064	0.05500088	0.04923785	0.038845076	0.001861032
100	0.03541086	0.040530763	0.042893228	0.051196832	0.059812507	0.05502949	0.047141674	0.001861037
150	0.032828045	0.037810947	0.047484073	0.054553379	0.062838015	0.058992955	0.054055233	0.001860966
200	0.027148835	0.036021546	0.044549212	0.052202401	0.062839751	0.060950722	0.058225539	0.001860966
250	0.025716169	0.028072238	0.041750048	0.054508864	0.059605413	0.062625023	0.057368556	0.001860966
300	0.024197997	0.031391009	0.044457119	0.052692911	0.059961672	0.058321393	0.055888266	0.001860966
350	0.022083413	0.030740839	0.043601193	0.056332471	0.061873048	0.057755515	0.057573316	0.001860966
400	0.020129475	0.031412258	0.042412708	0.054206415	0.061200066	0.059482062	0.058269932	0.001860966
450	0.021243013	0.031881308	0.044780935	0.056623549	0.063633562	0.063422921	0.058042787	0.001860966
499	0.020530635	0.031802096	0.042287293	0.053610317	0.064915082	0.072003771	0.055280937	0.001860966
