STARNDARD	z
188	3.966169154
189	3.962338949
190	3.965346535
191	3.964391691
192	3.962450593
193	3.957551826
194	3.955665025
195	3.959566075
196	3.954679803
197	3.954679803
198	3.957509881
199	3.967294351
200	3.966369931
201	3.96248766
202	3.963402572
203	3.961462451
204	3.96432111
205	3.957425743
206	3.958374628
207	3.951388889
208	3.956262425
209	3.960119641
210	3.95531281
211	3.957256461
212	3.952380952
213	3.951340616
214	3.954137587
215	3.947472745
216	3.953233831
217	3.947420635
218	3.950445986
219	3.941757157
220	3.954319762
221	3.955445545
222	3.95526839
223	3.947628458
224	3.956349206
225	3.948667325
226	3.956349206
227	3.956478734
228	3.957425743
229	3.959365709
230	3.963293651
231	3.959365709
232	3.957298908
233	3.955401388
234	3.960356789
235	3.953511375
236	3.953557312
237	3.95256917
238	3.950396825
239	3.954319762
240	3.952428147
241	3.954365079
242	3.947680158
243	3.952475248
244	3.94679803
245	3.952615992
246	3.954500495
247	3.955489614
248	3.955489614
249	3.956392468
250	3.956478734
251	3.963366337
252	3.951676529
253	3.953603159
254	3.956521739
255	3.957467854
256	3.955489614
257	3.953603159
258	3.953557312
259	3.953557312
260	3.961424332
261	3.963293651
262	3.958456973
263	3.960474308
264	3.954545455
265	3.958579882
266	3.955621302
267	3.953694581
268	3.958579882
269	3.961500494
270	3.953785644
271	3.953694581
272	3.95862069
273	3.965449161
274	3.963510848
275	3.961614173
276	3.962598425
277	3.965483235
278	3.969428008
279	3.97044335
280	3.970414201
281	3.961576355
282	3.961576355
283	3.958702065
284	3.955795678
285	3.961576355
286	3.958661417
287	3.962561576
288	3.966502463
289	3.964497041
290	3.958661417
291	3.960474308
292	3.958579882
293	3.961576355
294	3.966535433
295	3.964566929
296	3.968441815
297	3.969428008
298	3.963546798
299	3.963510848
300	3.965517241
301	3.966502463
302	3.968472906
303	3.965585054
304	3.965585054
305	3.96460177
306	3.960745829
307	3.960745829
308	3.961651917
309	3.963582677
310	3.96453202
311	3.963546798
312	3.964566929
313	3.967455621
314	3.967519685
315	3.964636542
316	3.967519685
317	3.97044335
318	3.971428571
319	3.976331361
320	3.977317554
321	3.973399015
322	3.973399015
323	3.972413793
324	3.972440945
325	3.969518191
326	3.969548134
327	3.969578018
328	3.969578018
329	3.965618861
330	3.959764475
331	3.960707269
332	3.959645669
333	3.96248766
334	3.957635468
335	3.955621302
336	3.957593688
337	3.959605911
338	3.962598425
339	3.96453202
340	3.963474827
341	3.961424332
342	3.969154229
343	3.96531219
344	3.965346535
345	3.968222443
346	3.960356789
347	3.96333003
348	3.967294351
349	3.96333003
350	3.966202783
351	3.96432111
352	3.969215492
353	3.966269841
354	3.962338949
355	3.960474308
356	3.953603159
357	3.957551826
358	3.959446093
359	3.961347869
360	3.96031746
361	3.957425743
362	3.958456973
363	3.958538993
364	3.950835792
365	3.956607495
366	3.961462451
367	3.966336634
368	3.963366337
369	3.961424332
370	3.961386139
371	3.958415842
372	3.953419227
373	3.947576657
374	3.950396825
375	3.943620178
376	3.952380952
377	3.956392468
378	3.950445986
379	3.948412698
380	3.945544554
381	3.951485149
382	3.954455446
383	3.959285005
384	3.951533136
385	3.954545455
386	3.950738916
387	3.959486166
388	3.959566075
389	3.967423495
390	3.971343874
391	3.970355731
392	3.968441815
393	3.971400394
394	3.969367589
395	3.968379447
396	3.969428008
397	3.971400394
398	3.977295163
399	3.977317554
400	3.97635468
401	3.963582677
402	3.962561576
403	3.967423495
404	3.965517241
405	3.963510848
406	3.957635468
407	3.957635468
408	3.961576355
409	3.963582677
410	3.965517241
411	3.967455621
412	3.970414201
413	3.965585054
414	3.963654224
415	3.960745829
416	3.959764475
417	3.955882353
418	3.957801766
419	3.959764475
420	3.957760314
421	3.958783121
422	3.960707269
423	3.960707269
424	3.957801766
425	3.955839058
426	3.958742633
427	3.957635468
428	3.959605911
429	3.953694581
430	3.958538993
431	3.957635468
432	3.95862069
433	3.957635468
434	3.957593688
435	3.961500494
436	3.957593688
437	3.954635108
438	3.957551826
439	3.961538462
440	3.958661417
441	3.957718781
442	3.960591133
443	3.953785644
444	3.957635468
445	3.955795678
446	3.958661417
447	3.962598425
448	3.959685349
449	3.957801766
450	3.955839058
451	3.958702065
452	3.957760314
453	3.965517241
454	3.962635202
455	3.960707269
456	3.963618486
457	3.968441815
458	3.965517241
459	3.966502463
460	3.95952616
461	3.961462451
462	3.964461994
463	3.968379447
464	3.972277228
465	3.974257426
466	3.976190476
467	3.980178394
468	3.976237624
469	3.973293769
470	3.974282888
471	3.973240833
472	3.972277228
473	3.97029703
474	3.96735905
475	3.97029703
476	3.96735905
477	3.965449161
478	3.971258672
479	3.976237624
480	3.976284585
481	3.973320158
482	3.970414201
483	3.970384995
484	3.968472906
485	3.965551181
486	3.968472906
487	3.974282888
488	3.975296443
489	3.976284585
490	3.970414201
491	3.972386588
492	3.969428008
493	3.965517241
494	3.961576355
495	3.95952616
496	3.962450593
497	3.967294351
498	3.973187686
499	3.974257426
500	3.972304649
501	3.968316832
502	3.966403162
503	3.969397828
504	3.969397828
505	3.967423495
506	3.972277228
507	3.972222222
508	3.971258672
509	3.976166832
510	3.978174603
511	3.975198413
512	3.97029703
513	3.967261905
514	3.96333003
515	3.967326733
516	3.964285714
517	3.962338949
518	3.966269841
519	3.96432111
520	3.964426877
521	3.962524655
522	3.969276511
523	3.972222222
524	3.967326733
525	3.972277228
526	3.972277228
527	3.961462451
528	3.962450593
529	3.963293651
530	3.964285714
531	3.957425743
